number_of_capital_letters,number_of_special_characters,number_of_whitespaces,average_lenght_of_words,number_of_keywords,real_class
0,0,0,0,0,o
0,2,0,3,0,o
1,1,5,5,0,o
0,1,1,2,0,o
2,2,3,9,1,j
0,0,0,0,0,o
0,2,0,3,0,o
1,1,5,3,0,o
0,1,1,2,0,o
3,2,3,8,1,j
0,0,0,0,0,o
0,2,0,3,0,o
1,1,7,3,0,o
0,1,1,2,0,o
4,5,3,13,0,j
0,0,0,0,0,o
0,2,0,3,0,o
1,1,9,7,0,o
0,1,1,2,0,o
3,2,3,11,0,j
0,0,0,0,0,o
0,2,0,3,0,o
4,1,4,7,0,o
0,1,1,2,0,o
3,2,2,9,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
3,1,7,6,0,j
0,0,0,0,0,o
1,2,3,5,1,j
0,0,0,0,0,o
2,2,3,7,0,j
0,0,0,0,0,o
1,2,3,5,1,j
0,0,0,0,0,o
1,2,3,6,1,j
0,0,0,0,0,o
1,2,3,6,1,j
0,0,0,0,0,o
1,2,3,6,1,j
0,0,0,0,0,o
2,0,3,6,1,j
0,0,0,0,0,o
3,3,3,10,0,j
0,0,0,0,0,o
4,3,6,8,0,j
0,0,0,0,0,o
3,3,4,7,1,j
0,1,3,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
2,3,5,6,1,j
0,1,3,4,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
4,3,5,9,0,j
0,1,3,5,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
3,3,5,7,1,j
0,1,3,5,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
3,3,5,7,1,j
0,1,3,5,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
3,3,5,8,1,j
0,1,3,6,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
3,3,5,8,1,j
0,1,3,6,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
4,3,5,7,1,j
1,1,3,5,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
5,6,5,11,0,j
1,1,3,8,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
3,3,5,8,0,j
0,1,3,5,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
3,3,4,6,0,j
6,3,4,15,0,j
0,0,0,0,0,o
7,2,5,11,0,j
5,7,3,18,0,j
6,6,2,25,0,j
2,3,1,17,0,j
0,0,0,0,0,o
5,3,4,12,0,j
4,3,2,14,0,j
3,3,2,13,0,j
3,3,2,14,0,j
3,4,3,14,0,j
3,5,4,13,0,j
1,1,1,11,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,1,10,6,0,o
4,1,10,6,0,o
3,1,8,6,0,o
0,1,3,3,0,o
1,2,3,6,0,o
0,1,1,2,0,o
2,1,5,6,0,j
0,0,0,0,0,o
5,0,3,8,0,j
0,0,0,0,0,o
3,0,3,7,0,j
0,0,0,0,0,o
2,1,5,6,0,j
0,0,0,0,0,o
2,1,5,6,0,j
0,0,0,0,0,o
3,1,5,8,0,j
0,0,0,0,0,o
5,0,3,14,0,j
0,0,0,0,0,o
0,2,0,3,0,o
7,1,10,6,0,o
1,3,7,3,0,o
0,1,1,2,0,o
6,3,5,8,0,j
3,1,3,7,0,j
0,1,0,1,0,o
0,0,0,0,0,o
6,3,4,7,0,j
2,0,2,8,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
6,1,10,5,0,o
1,3,7,3,0,o
0,1,1,2,0,o
5,3,5,8,0,j
2,1,3,7,0,j
0,1,0,1,0,o
0,0,0,0,0,o
4,3,4,7,0,j
1,0,2,8,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
4,1,9,7,0,o
1,5,8,3,0,o
0,1,1,2,0,o
5,3,5,10,0,j
4,1,3,11,0,j
0,1,0,1,0,o
0,0,0,0,0,o
3,3,4,7,0,j
2,0,2,10,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
4,1,9,7,0,o
1,5,8,3,0,o
4,4,3,15,0,o
0,1,1,2,0,o
5,3,5,10,0,j
4,1,3,11,0,j
0,1,0,1,0,o
0,0,0,0,0,o
3,3,4,7,0,j
2,0,2,10,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,1,10,5,0,o
1,1,9,5,0,o
2,2,6,6,0,o
3,4,9,6,0,o
0,1,6,5,0,o
0,1,1,2,0,o
7,3,5,13,0,j
6,1,3,16,0,j
7,3,5,13,0,j
0,1,0,1,0,o
0,0,0,0,0,o
4,3,4,9,0,j
3,0,2,13,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
2,1,12,4,0,o
3,5,7,9,0,o
2,3,6,8,0,o
0,1,1,2,0,o
4,5,4,7,1,j
7,10,7,9,0,j
5,2,2,20,0,j
0,1,0,1,0,o
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
7,1,9,7,0,o
1,3,7,3,0,o
0,1,1,2,0,o
6,3,5,12,0,j
2,1,3,10,0,j
0,1,0,1,0,o
0,0,0,0,0,o
6,3,4,12,0,j
2,0,2,12,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,1,0,1,0,o
