number_of_capital_letters,number_of_special_characters,number_of_whitespaces,average_lenght_of_words,number_of_keywords,real_class
0,1,1,2,0,o
6,2,3,9,0,j
0,1,0,1,0,o
1,0,2,6,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
6,2,3,9,0,j
0,1,0,1,0,o
1,0,2,6,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
4,2,5,8,1,j
0,1,0,1,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
4,3,4,7,0,j
3,5,4,11,1,j
10,9,6,18,1,j
2,2,1,14,0,j
1,2,1,16,0,j
0,0,0,0,0,o
10,6,4,12,0,j
0,1,0,1,0,o
3,4,1,25,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
6,3,4,9,0,j
1,2,1,15,0,j
0,0,0,0,0,o
11,6,4,13,0,j
0,1,0,1,0,o
1,2,1,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
4,2,5,7,1,j
0,1,0,1,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
4,3,4,7,0,j
4,5,4,13,1,j
10,9,7,18,1,j
3,2,1,19,0,j
1,2,0,33,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,1,10,5,0,o
0,3,2,2,0,o
2,8,12,6,0,o
0,3,2,2,0,o
0,1,2,1,0,o
3,1,3,6,1,o
0,1,1,2,0,o
5,2,5,8,1,j
0,1,0,1,0,o
0,6,8,3,0,j
0,1,0,1,0,o
0,0,18,4,0,o
0,1,14,5,0,o
0,0,8,4,0,o
0,5,10,3,0,j
0,1,0,1,0,o
4,3,4,5,0,j
0,0,0,0,0,o
